date,subs
2016-06-02,105095
2016-06-03,105165
2016-06-04,105249
2016-06-05,105324
2016-06-06,105400
2016-06-07,105487
2016-06-08,105542
2016-06-09,105622
2016-06-10,105683
2016-06-11,105760
2016-06-12,105960
2016-06-13,106116
2016-06-14,106244
2016-06-15,106346
2016-06-16,106503
2016-06-17,106661
2016-06-18,106761
2016-06-19,107014
2016-06-20,107220
2016-06-21,107359
2016-06-22,107445
2016-06-23,107499
2016-06-24,107531
2016-06-25,107588
2016-06-26,107692
2016-06-27,107749
2016-06-28,107793
2016-06-29,107834
2016-06-30,107986
2016-07-01,108138
2016-07-02,108290
2016-07-03,108442
2016-07-04,108594
2016-07-05,108746
2016-07-06,108903
2016-07-07,108923
2016-07-08,109004
2016-07-09,109029
2016-07-10,109364
2016-07-11,109532
2016-07-12,109602
2016-07-13,109679
2016-07-14,109734
2016-07-15,109798
2016-07-16,109842
2016-07-17,109917
2016-07-18,109965
2016-07-19,110002
2016-07-20,110051
2016-07-21,110096
2016-07-22,110146
2016-07-23,110255
2016-07-24,110503
2016-07-25,110671
2016-07-26,110774
2016-07-27,110850
2016-07-28,110905
2016-07-29,110951
2016-07-30,110995
2016-07-31,111256
2016-08-01,111400
2016-08-02,111498
2016-08-03,111569
2016-08-04,111635
2016-08-05,111673
2016-08-06,111727
2016-08-07,111773
2016-08-08,111805
2016-08-09,111835
2016-08-10,111870
2016-08-11,111888
2016-08-12,111912
2016-08-13,111927
2016-08-14,111970
2016-08-15,111982
2016-08-16,112013
2016-08-17,112061
2016-08-18,112130
2016-08-19,112193
2016-08-20,112236
2016-08-21,112327
2016-08-22,112415
2016-08-23,112496
2016-08-24,112550
2016-08-25,112605
2016-08-26,112651
2016-08-27,112772
2016-08-28,113164
2016-08-29,113350
2016-08-30,113460
2016-08-31,113637
2016-09-01,113687
2016-09-02,113790
2016-09-03,113834
2016-09-04,114024
2016-09-05,114187
2016-09-06,114331
2016-09-07,114448
2016-09-08,114549
2016-09-09,114606
2016-09-10,114755
2016-09-11,114861
2016-09-12,114913
2016-09-13,114975
2016-09-14,115026
2016-09-15,115082
2016-09-16,115136
2016-09-17,115234
2016-09-18,115373
2016-09-19,115537
2016-09-20,115641
2016-09-21,115719
2016-09-22,115798
2016-09-23,115927
2016-09-24,116090
2016-09-25,116171
2016-09-26,116217
2016-09-27,116255
2016-09-28,116305
2016-09-29,116361
2016-09-30,116415
2016-10-01,116407
2016-10-02,116848
2016-10-03,117257
2016-10-04,117373
2016-10-05,117474
2016-10-06,117540
2016-10-07,117623
2016-10-08,117667
2016-10-09,117919
2016-10-10,118080
2016-10-11,118163
2016-10-12,118233
2016-10-13,118348
2016-10-14,118587
2016-10-15,118865
2016-10-16,119130
2016-10-17,119421
2016-10-18,119712
2016-10-19,120003
2016-10-20,120294
2016-10-21,120585
2016-10-22,120876
2016-10-23,121167
2016-10-24,121465
2016-10-25,121781
2016-10-26,122097
2016-10-27,122413
2016-10-28,122729
